ISO_A3,WB_NAME_pop,surface_area_km2_pop,worldpop_pop_2015,worldpop_pop_2020,worldpop_pop_cagr_2015_2020,pop_ftm3_all_flood_rp10_2015,pop_ftm3_all_flood_rp10_2020,pop_ftm3_all_flood_rp100_2015,pop_ftm3_all_flood_rp100_2020,pop_ftm3_fluvial_pluvial_flood_rp10_2015,pop_ftm3_fluvial_pluvial_flood_rp10_2020,pop_ftm3_fluvial_pluvial_flood_rp100_2015,pop_ftm3_fluvial_pluvial_flood_rp100_2020,pop_ftm3_coastal_flood_rp10_2015,pop_ftm3_coastal_flood_rp10_2020,pop_ftm3_coastal_flood_rp100_2015,pop_ftm3_coastal_flood_rp100_2020,pop_ftm3_all_flood_rp10_cagr_2015_2020,pop_ftm3_all_flood_rp100_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,pop_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,pop_ftm3_coastal_flood_rp10_cagr_2015_2020,pop_ftm3_coastal_flood_rp100_cagr_2015_2020,WB_NAME_builtup,surface_area_km2_builtup,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_cagr_2015_2020,built_ftm3_all_flood_rp10_2015,built_ftm3_all_flood_rp10_2020,built_ftm3_all_flood_rp100_2015,built_ftm3_all_flood_rp100_2020,built_ftm3_fluvial_pluvial_flood_rp10_2015,built_ftm3_fluvial_pluvial_flood_rp10_2020,built_ftm3_fluvial_pluvial_flood_rp100_2015,built_ftm3_fluvial_pluvial_flood_rp100_2020,built_ftm3_coastal_flood_rp10_2015,built_ftm3_coastal_flood_rp10_2020,built_ftm3_coastal_flood_rp100_2015,built_ftm3_coastal_flood_rp100_2020,built_ftm3_all_flood_rp10_cagr_2015_2020,built_ftm3_all_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_coastal_flood_rp10_cagr_2015_2020,built_ftm3_coastal_flood_rp100_cagr_2015_2020
LBR,Liberia,97807.08,4609291,5094202,0.0202072533718828,105135.0,114743.0,342965.0,375081.0,94455,102655,332601,363346,10689.0,12097.0,11131.0,12599.0,0.0176437655282619,0.0180639346188991,0.0167894490079563,0.0178396540774292,0.0250572477941075,0.0250861803471862,Liberia,97807.08,188.27751,201.01454,0.01317811,3.7437312602996826,4.002127647399902,12.460234642028809,13.37957763671875,3.2772882,3.5222502,12.00491,12.912015,0.4666709303855896,0.4801326394081116,0.4871788620948791,0.5012454986572266,0.0134381621163077,0.0143392634274088,0.014521122,0.01467514,0.0057038120233554,0.0057091694219038
LSO,Lesotho,40532.11,2092111,2222094,0.0121282358424499,16151.0,17169.0,55015.0,58431.0,16151,17169,55015,58431,0.0,0.0,0.0,0.0,0.0,0.0,0.0122997199423551,0.0121210103069191,0.0,0.0,Lesotho,40532.11,175.99173,210.379,0.036339402,0.911975085735321,1.2318530082702637,3.598348617553711,4.489593029022217,0.9119751,1.231853,3.5983486,4.489593,0.0,0.0,0.0,0.0,0.0,0.0,0.061977148,0.04525137,0.0,0.0
MDG,Madagascar,670441.75,25093544,28585972,0.0264036610709739,952595.0,1071938.0,2669109.0,3004708.0,881879,992998,2589661,2915233,74482.0,83025.0,102718.0,115191.0,0.0238875774210147,0.0239699050707755,0.0240186694250195,0.023967260334603,0.0219543836189362,0.0231855513823204,Madagascar,670441.75,732.1345,821.7071,0.023352385,23.67383575439453,26.64477157592773,65.64364624023438,73.30072784423828,21.528612,24.3787,63.14465,70.639114,2.223430156707764,2.3535563945770264,3.065633773803711,3.2602851390838623,0.0239262435380565,0.0223111985120278,0.025177121,0.022684693,0.0114402294782407,0.0123881718604559
MLI,Mali,1386489.38,18302444,21379682,0.0315693524042235,377425.0,437888.0,1976341.0,2303995.0,377425,437888,1976341,2303995,0.0,0.0,0.0,0.0,0.0,0.0,0.0301642538576039,0.0311549487204763,0.0,0.0,Mali,1386489.38,943.2148,1035.4553,0.018835664,21.530445098876957,23.01860809326172,116.12381744384766,124.69938659667967,21.530445,23.018608,116.12382,124.69939,0.0,0.0,0.0,0.0,0.0,0.0,0.013456702,0.014351845,0.0,0.0
MOZ,Mozambique,872757.72,26161522,30323522,0.029967040207125,273169.0,311692.0,1224745.0,1407363.0,233575,265972,1144314,1314265,40199.0,46401.0,120511.0,139769.0,0.0267361390083982,0.0281869580513063,0.0263179208028927,0.0280815047198803,0.0291114687105564,0.0300939430815385,Mozambique,872757.72,1590.2452,1956.5122,0.04232633,10.3748140335083,13.338326454162598,55.08301162719727,67.94284057617188,8.831638,11.462975,51.718052,64.13716,1.559080719947815,1.894638538360596,5.0287933349609375,5.614055633544922,0.0515361421752047,0.042858066149104,0.05354047,0.04398322,0.0397562825473218,0.0222628650313725
MRT,Mauritania,1192801.17,3906422,4533420,0.0302185366085809,24947.0,28608.0,267924.0,307464.0,20956,23992,263634,302494,3992.0,4616.0,4792.0,5548.0,0.0277650238671725,0.0279134077753879,0.0274285096453286,0.0278815462278139,0.0294732196205695,0.0297313349143131,Mauritania,1192801.17,171.23819,228.73395,0.05960989,1.011391282081604,1.3016737699508667,10.682031631469728,13.920454025268556,0.72973937,0.973235,10.370184,13.55434,0.2816475331783294,0.328427255153656,0.3451449275016784,0.4013827443122864,0.0517598537367658,0.0543866733528317,0.05927813,0.055014372,0.0312088885392356,0.0306505529081486
MUS,Mauritius,2312.26,1292328,1284800,-0.0011677534246152,23086.0,22951.0,71374.0,70961.0,23043,22908,71250,70837,64.0,64.0,250.0,249.0,-0.0011722852662875,-0.0011599721159649,-0.0011744779908327,-0.0011619955769471,0.0,-0.0008012830806278,Mauritius,2312.26,71.27359,73.975075,0.0074682236,1.4129301309585571,1.4705623388290403,4.348295211791992,4.525006771087647,1.3876551,1.4451543,4.2834926,4.4594774,0.0318946726620197,0.0321780033409595,0.0975456237792968,0.0989147275686264,0.0080278953021213,0.0079988634458432,0.0081532,0.008085132,0.001770384964765,0.0027914762393883
MWI,Malawi,125432.14,16852582,19277840,0.02725528548681,110182.0,126025.0,550838.0,630091.0,110182,126025,550838,630091,0.0,0.0,0.0,0.0,0.0272335871553335,0.027249353748614,0.0272335871553335,0.027249353748614,0.0,0.0,Malawi,125432.14,925.78827,1099.7659,0.035041332,4.879361629486084,6.129858493804932,24.855993270874023,30.75592613220215,4.8793616,6.1298585,24.855993,30.755926,0.0,0.0,0.0,0.0,0.0466885865108737,0.0435170209571973,0.046688557,0.043516994,0.0,0.0
NAM,Namibia,968467.11,2342480,2687684,0.0278753777389306,40449.0,46391.0,197167.0,225772.0,40226,46137,196852,225413,223.0,254.0,320.0,364.0,0.0277918959730916,0.0274653159206346,0.0277997328778787,0.0274668658964949,0.0263743041845645,0.0261014021487202,Namibia,968467.11,246.06944,305.96762,0.044536352,4.563509941101074,5.72878360748291,21.406509399414062,26.37290954589844,4.547337,5.712403,21.385721,26.351883,0.0161935593932867,0.0164007879793643,0.0210028085857629,0.0212447941303253,0.046532412155325,0.0426113247106691,0.04667616,0.0426476,0.0025463938328884,0.0022937691315569
NER,Niger,1310700.07,19570186,23327606,0.0357502424744446,278789.0,331220.0,1705510.0,2024049.0,278789,331220,1705510,2024049,0.0,0.0,0.0,0.0,0.0,0.0,0.0350663353322033,0.0348403409591142,0.0,0.0,Niger,1310700.07,563.9885,748.1854,0.058151364,8.858119010925293,10.674419403076172,48.99153137207031,61.88406753540039,8.858119,10.674419,48.99153,61.884068,0.0,0.0,0.0,0.0,0.0,0.0,0.038007617,0.047831774,0.0,0.0
NGA,Nigeria,941845.05,188318080,211741280,0.0237235718403319,2348348.0,2621889.0,13631380.0,15251551.0,2098580,2338755,13338163,14919505,254102.0,288085.0,424399.0,479805.0,0.0222811886708609,0.02271549828069,0.0219080960929922,0.0226609639330215,0.0254217207512958,0.0248447566349863,Nigeria,941845.05,7370.586,8219.339,0.022037864,70.60794830322266,78.06832122802734,436.3357238769531,477.439697265625,61.13053,68.26036,424.87064,465.54282,9.69482421875,10.031378746032717,17.521617889404297,18.125417709350582,0.0202914555588964,0.0181682520272228,0.022308707,0.018452048,0.0068485240850517,0.0067989727791737
RWA,Rwanda,25481.38,11501389,12920615,0.0235441458499563,82728.0,92264.0,376916.0,421158.0,82728,92264,376916,421158,0.0,0.0,0.0,0.0,0.0,0.0,0.0220589621344495,0.0224453313647168,0.0,0.0,Rwanda,25481.38,532.5143,677.30524,0.04927814,2.9678635597229004,3.868205308914185,14.52605438232422,17.809764862060547,2.9678636,3.8682053,14.526054,17.809765,0.0,0.0,0.0,0.0,0.0,0.0,0.054418683,0.04160273,0.0,0.0
SDN,Sudan,2046598.98,39418436,46174176,0.03214319370614,743285.0,864111.0,5004702.0,5828478.0,738526,859246,4999640,5823296,4758.0,4864.0,5092.0,5206.0,0.0305826648280169,0.0309447413460417,0.030742885709881,0.0309699961613745,0.0044164705426943,0.0044380442528901,Sudan,2046598.98,1265.8579,1682.4991,0.05855632,37.55388641357422,44.49817657470703,209.8253173828125,253.0796813964844,37.421528,44.34916,209.6839,252.92044,0.132441908121109,0.1490138620138168,0.1421536654233932,0.1600208133459091,0.0345166036339499,0.038197259310017,0.03455305,0.038206577,0.023859226505225,0.0239616281072809
SEN,Senegal,211117.26,14372647,16571852,0.028885051245578,175828.0,203521.0,913038.0,1057970.0,131765,154270,889470,1032107,45080.0,50378.0,47077.0,52629.0,0.0296846495095797,0.0299043678403316,0.0320394119643816,0.0301932114919345,0.0224719507552846,0.0225469736869596,Senegal,211117.26,616.69147,706.5777,0.02758658,6.770315170288086,7.76702880859375,34.980682373046875,40.58284378051758,5.066189,5.903764,33.941803,39.413372,1.7391386032104492,1.899649739265442,1.8268911838531492,1.995350241661072,0.0278487354959733,0.0301556287275777,0.031073213,0.030342817,0.01781270436891,0.0177972933054644
SLE,Sierra Leone,74734.95,6956704,7821405,0.0237083600307865,231364.0,257205.0,605502.0,678033.0,207216,230856,588065,658918,26298.0,28685.0,27002.0,29459.0,0.0214020485724824,0.0228855651160906,0.0218415926973218,0.0230131302790619,0.0175281354272012,0.0175702785306561,Sierra Leone,74734.95,215.6404,225.25209,0.008759737,5.619448184967041,5.9253249168396,14.291529655456545,14.943718910217283,4.772964,5.052478,13.610909,14.242964,0.9191970229148864,0.9487482309341432,0.9443463087081908,0.9747557640075684,0.0106567938934722,0.0089647532043672,0.01144731,0.00911963,0.0063486631363267,0.0063589306658766
SOM,Somalia,647355.11,13574748,16331889,0.0376739845030189,351856.0,413351.0,1757648.0,2114734.0,324957,381358,1737116,2090485,27284.0,32450.0,29405.0,34862.0,0.0327395431474786,0.0376831596018458,0.0325269426842793,0.0377282676421333,0.0352883621355266,0.0346327538737463,Somalia,647355.11,194.29144,245.16862,0.047616243,4.16716194152832,5.020314693450928,25.526735305786133,31.664424896240234,3.751562,4.589992,25.223007,31.34878,0.4193313717842102,0.4348746240139007,0.4394241571426391,0.4562553763389587,0.0379540137606155,0.0440354995430887,0.041165948,0.04444301,0.007305817829792,0.0075458379372383
SSD,South Sudan,643198.4,11113213,10560796,-0.0101454059199577,513744.0,486534.0,1866939.0,1769119.0,513744,486534,1866939,1769119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0108246474120832,-0.0107059803924277,0.0,0.0,South Sudan,643198.4,124.832405,203.91678,0.10312605,3.2510979175567627,6.317962646484375,18.51676368713379,30.937673568725582,3.251098,6.3179626,18.516764,30.937674,0.0,0.0,0.0,0.0,0.0,0.0,0.1421138,0.10811424,0.0,0.0
STP,São Tomé and Príncipe,1009.12,198557,214999,0.0160386937990981,3040.0,3291.0,8508.0,9188.0,2455,2647,8263,8918,689.0,760.0,690.0,761.0,0.0159933368422109,0.0154971316831424,0.0151740061181646,0.015373776786868,0.0198090791305658,0.0197814626674603,São Tomé and Príncipe,1009.12,7.805495,7.93718,0.0033515692,0.1295576840639114,0.1327746361494064,0.3092745244503021,0.3159482777118683,0.077808864,0.08032689,0.29018918,0.29638094,0.0611989982426166,0.0619202107191085,0.0612186640501022,0.0619406551122665,0.0049174526190736,0.0042789709528916,0.006390214,0.004231453,0.0023459096627098,0.002347679471377
SWZ,eSwatini,21818.42,1139489,1185399,0.0079311886539805,9370.0,9755.0,24374.0,25374.0,9370,9755,24374,25374,0.0,0.0,0.0,0.0,0.0080858912222661,0.0080740280349516,0.0080858912222661,0.0080740280349516,0.0,0.0,eSwatini,21818.42,106.556335,160.45296,0.085309744,0.6931376457214355,1.0559297800064087,1.85779082775116,2.798243999481201,0.69313765,1.0559298,1.8577908,2.798244,0.0,0.0,0.0,0.0,0.0878352068629608,0.0853698500394002,0.08783519,0.085369825,0.0,0.0
SYC,Seychelles,502.28,105933,118958,0.023463776978988,2297.0,2585.0,6521.0,7338.0,2202,2478,6425,7230,99.0,111.0,106.0,120.0,0.0239055815521895,0.0238885855299437,0.0238982423570126,0.0238893673444056,0.0231458730804616,0.0251208721985269,Seychelles,502.28,5.336974,5.458527,0.0045142174,0.1377591490745544,0.1406198292970657,0.3969318568706512,0.4046602547168731,0.12878314,0.13149616,0.38763627,0.39521778,0.0093541117385029,0.0095100020989775,0.0099546648561954,0.0101174470037221,0.0041190880284003,0.0038640898223107,0.0041782856,0.0038814545,0.0033110880831535,0.0032492852401759
TCD,Chad,1380442.21,14433058,16935740,0.0324978694571309,179218.0,203455.0,1472024.0,1707792.0,179218,203455,1472024,1707792,0.0,0.0,0.0,0.0,0.0,0.0,0.0256928973859547,0.0301584204883174,0.0,0.0,Chad,1380442.21,462.5464,572.7474,0.043666005,3.62106728553772,4.518738269805908,45.091583251953125,54.3120346069336,3.6210673,4.5187383,45.091583,54.312035,0.0,0.0,0.0,0.0,0.0,0.0,0.045288324,0.037911057,0.0,0.0
TGO,Togo,58928.38,7566795,8565877,0.0251135477971933,35825.0,39279.0,285117.0,318812.0,35755,39195,285019,318696,71.0,84.0,98.0,117.0,0.0185792969326794,0.022591808332222,0.0185416136468909,0.0225876894680323,0.034199176136354,0.0360768195420677,Togo,58928.38,402.18774,471.0627,0.032119513,1.162801742553711,1.3924072980880735,11.342921257019045,13.018386840820312,1.1515163,1.3806938,11.326225,13.001111,0.0113199986517429,0.0117478892207145,0.0167319998145103,0.0173166655004024,0.0366976722574579,0.0279368876350485,0.03696823,0.027966738,0.0074481263287711,0.0068929113153775
TZA,Tanzania,960259.31,51123580,60051336,0.0327145196601865,351057.0,406980.0,2085641.0,2434452.0,339653,393619,2076101,2423159,11892.0,13900.0,12439.0,14540.0,0.0300044144935474,0.0314123613294397,0.0299309752031686,0.0313989546283646,0.0316965539997888,0.0317055997230593,Tanzania,960259.31,3270.9124,4138.235,0.04816401,16.742767333984375,21.22183990478516,104.9546356201172,130.39129638671875,16.199287,20.533125,104.485275,129.79305,0.5613608360290527,0.7115612030029297,0.5853292346000671,0.7424622774124146,0.0485548620439606,0.0443579945467595,0.048556447,0.044333577,0.0485617954781765,0.0487086145086717
UGA,Uganda,243328.78,36950212,43736848,0.0342990109195382,166146.0,193848.0,996814.0,1165800.0,166146,193848,996814,1165800,0.0,0.0,0.0,0.0,0.0,0.0,0.0313220113180736,0.0318153499120181,0.0,0.0,Uganda,243328.78,2024.42,2667.901,0.056753755,5.973204612731934,8.220664024353027,36.652374267578125,48.7358512878418,5.9732046,8.220664,36.652374,48.73585,0.0,0.0,0.0,0.0,0.0,0.0,0.065957546,0.058642387,0.0,0.0
ZAF,South Africa,1605570.65,56068272,60079120,0.0139143699622288,238810.0,255295.0,1569183.0,1677650.0,237145,253504,1564770,1672905,1724.0,1855.0,5202.0,5588.0,0.0134398096200842,0.0134575288235674,0.0134309625390534,0.0134542624434077,0.014755305153971,0.0144186145861053,South Africa,1605570.65,5652.1797,6366.1284,0.02407527,19.09036064147949,23.196237564086918,124.06040954589844,142.07557678222656,18.875591,22.90308,123.60372,141.47418,0.2200618535280227,0.2997789084911346,0.5282320976257324,0.6909904479980469,0.0397302582777199,0.0274891474388305,0.03943813,0.02737534,0.0637786296206883,0.0551870469009461
ZMB,Zambia,799618.54,16145420,18787074,0.0307704500827292,184090.0,211686.0,715429.0,825797.0,184090,211686,715429,825797,0.0,0.0,0.0,0.0,0.0,0.0,0.0283297203381187,0.0291089426171491,0.0,0.0,Zambia,799618.54,1219.878,1380.7051,0.025077939,9.562137603759766,11.064828872680664,40.61965560913086,46.86751174926758,9.562138,11.064829,40.619656,46.86751,0.0,0.0,0.0,0.0,0.0,0.0,0.029622316,0.02902782,0.0,0.0
ZWE,Zimbabwe,439707.79,14302032,15394218,0.0148269160161729,78482.0,83620.0,347085.0,371209.0,78482,83620,347085,371209,0.0,0.0,0.0,0.0,0.0,0.0,0.0127634516967147,0.0135298186294439,0.0,0.0,Zimbabwe,439707.79,915.95197,1332.2628,0.07781303,4.488847732543945,6.946362018585205,20.73874855041504,30.85050392150879,4.4888477,6.946362,20.738749,30.850504,0.0,0.0,0.0,0.0,0.0,0.0,0.09125066,0.082669616,0.0,0.0
