ISO_A3,WB_NAME,surface_area_km2,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_cagr_2015_2020,built_ftm3_all_flood_rp10_2015,built_ftm3_all_flood_rp10_2020,built_ftm3_all_flood_rp100_2015,built_ftm3_all_flood_rp100_2020,built_ftm3_fluvial_pluvial_flood_rp10_2015,built_ftm3_fluvial_pluvial_flood_rp10_2020,built_ftm3_fluvial_pluvial_flood_rp100_2015,built_ftm3_fluvial_pluvial_flood_rp100_2020,built_ftm3_coastal_flood_rp10_2015,built_ftm3_coastal_flood_rp10_2020,built_ftm3_coastal_flood_rp100_2015,built_ftm3_coastal_flood_rp100_2020,built_ftm3_all_flood_rp10_cagr_2015_2020,built_ftm3_all_flood_rp100_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp10_cagr_2015_2020,built_ftm3_fluvial_pluvial_flood_rp100_cagr_2015_2020,built_ftm3_coastal_flood_rp10_cagr_2015_2020,built_ftm3_coastal_flood_rp100_cagr_2015_2020
AGO,Angola,1318971.92,1031.5071,1301.3281,0.047569633,8.742729187011719,10.352249145507812,47.76028060913086,55.787742614746094,5.5538206,6.972979,45.331352,53.23476,3.1970088481903076,3.388058662414551,3.3919360637664795,3.5967636108398438,0.03437386261183928,0.03155973934853984,0.04656279,0.032664657,0.011675928407607561,0.011795742582805469
BDI,Burundi,27211.54,309.3459,423.56915,0.06486857,1.2787574529647827,1.8139846324920654,8.621125221252441,10.978599548339844,1.2787575,1.8139846,8.621125,10.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.07243037,0.0495342,0.0,0.0
BEN,Benin,119446.19,670.8756,737.7873,0.019196272,3.1459274291992188,3.4290499687194824,21.108562469482422,22.914094924926758,2.2675648,2.5386586,20.20037,21.993301,0.8784856796264648,0.890562117099762,0.918294370174408,0.9312806129455566,0.017384279664008018,0.01655015276235461,0.022842884,0.017152786,0.002734381429161825,0.0028124752522677987
BFA,Burkina Faso,288193.0,969.2919,1254.6143,0.05295825,3.3759138584136963,4.198197364807129,40.95441818237305,51.03907775878906,3.3759139,4.1981974,40.95442,51.039078,0.0,0.0,0.0,0.0,0.0,0.0,0.04456222,0.04500997,0.0,0.0
BWA,Botswana,678331.43,455.8665,481.81702,0.011134386,1.1492431163787842,1.2643393278121948,11.819707870483398,12.638792991638184,1.1492431,1.2643393,11.819708,12.638793,0.0,0.0,0.0,0.0,0.0,0.0,0.019272566,0.013490677,0.0,0.0
CAF,Central African Republic,633070.44,192.92917,206.19069,0.013384461,2.4771926403045654,2.6553149223327637,11.925950050354004,12.72337532043457,2.4771926,2.655315,11.92595,12.723375,0.0,0.0,0.0,0.0,0.0,0.0,0.013984323,0.013028979,0.0,0.0
CIV,Côte d'Ivoire,329776.9,1137.7078,1272.3403,0.022620559,9.061946868896484,10.23116397857666,40.40909194946289,45.35429382324219,9.009836,10.174429,40.355453,45.29487,0.05213967338204384,0.056752897799015045,0.059850793331861496,0.06577321141958237,0.024567809338331692,0.023358647106731967,0.024610043,0.02336216,0.017100685548419703,0.019050783272404948
CMR,Cameroon,474652.63,1082.9913,1236.8746,0.026928306,13.88149642944336,16.433895111083984,64.75279235839844,73.60039520263672,13.197132,15.717273,64.12265,72.93996,0.7024202346801758,0.7356368899345398,0.7475048303604126,0.7819567322731018,0.03433410533463954,0.02594558993413254,0.035570145,0.026102662,0.009283787701154012,0.009052456310805201
COD,"Congo, Democratic Republic of",2364426.58,2311.143,2791.191,0.038466573,24.525279998779297,29.90336036682129,96.00467681884766,114.35783386230469,24.398756,29.77166,95.87345,114.22116,0.1295345276594162,0.13476189970970154,0.13511896133422852,0.140922412276268,0.04044997488159674,0.03560635327250106,0.04060781,0.035642028,0.007943795229659711,0.008446247139729968
COG,"Congo, Rep. of",344672.72,202.2738,242.38663,0.03684497,2.276698589324951,3.005892276763916,12.741389274597168,15.507670402526855,2.1011205,2.8188028,12.652839,15.409424,0.1761474758386612,0.18800266087055206,0.1864093840122223,0.1998279094696045,0.057142601813219285,0.04007810859545935,0.06052947,0.04020679,0.013112128062398698,0.013999345615658854
COM,Comoros,1758.21,25.596464,26.005476,0.0031756163,0.1806337684392929,0.1832122504711151,1.0006437301635742,1.012531042098999,0.061699107,0.061987437,0.8735611,0.88315535,0.11935310810804367,0.12164320051670074,0.14888231456279755,0.1513553261756897,0.002838765025582779,0.002364722623291682,0.0009329319,0.0021870136,0.0038083894434057797,0.0033002473148706635
CPV,Cabo Verde,4451.38,21.625698,23.77139,0.01910019,0.26036208868026733,0.3035140037536621,0.1385803371667862,0.17032422125339508,0.15457912,0.17287436,0.0,0.0,0.10654069483280182,0.13163013756275177,0.1385803371667862,0.17032422125339508,0.031146085352531605,0.04211335047829157,0.022623897,0.0,0.043200921623207655,0.04211335047829157
ERI,Eritrea,130383.14,84.56969,115.744736,0.06477368,0.3941761553287506,0.5125600099563599,3.1798620223999023,3.9850523471832275,0.31392163,0.42545184,3.0962784,3.8938017,0.08026120066642761,0.08711651712656021,0.08583063632249832,0.09390081465244293,0.053927833411855586,0.04617695911563846,0.06268811,0.04690373,0.016527121612536666,0.01813508978970413
ETH,Ethiopia,1165071.92,1537.4949,2577.6006,0.10886943,10.917082786560059,16.9801025390625,49.23139190673828,73.95329284667969,10.917083,16.980103,49.23139,73.95329,0.0,0.0,0.0,0.0,0.09236239500721166,0.08478352380136855,0.092362404,0.084783554,0.0,0.0
GAB,Gabon,266515.47,132.33807,145.92957,0.01974523,3.636162281036377,4.308972358703613,10.725296020507812,12.127914428710938,3.0337563,3.6423557,10.128324,11.469682,0.6041887998580933,0.6710135340690613,0.6554673314094543,0.7243306040763855,0.03453714868187463,0.024885543581037117,0.03724253,0.025186181,0.021202153346118635,0.020180825887552878
GHA,Ghana,244746.04,1770.3193,1939.6714,0.01843965,6.740229606628418,7.661447525024414,76.64431762695312,83.50169372558594,6.394635,7.287793,76.326965,83.15961,0.4036593437194824,0.432732492685318,0.4905911386013031,0.5264430046081543,0.02595243850905926,0.017285992517893645,0.026493192,0.017295003,0.014006874495516852,0.014206365377138708
GIN,Guinea,254826.14,601.49664,652.9088,0.01653862,8.95702075958252,10.015826225280762,27.23758888244629,29.923194885253906,8.223781,9.228966,26.511276,29.143318,0.7567273378372192,0.812221109867096,0.7989133596420288,0.8579367995262146,0.022597296043011417,0.018985162168490666,0.023331404,0.019111395,0.014254562027089968,0.014357681971220115
GMB,"Gambia, The",11348.83,109.5303,113.370926,0.006916523,0.6677786111831665,0.7045797109603882,4.163629531860352,4.331244468688965,0.5468408,0.571058,4.0584,4.2134185,0.12447899580001831,0.13749423623085022,0.13581722974777222,0.14976167678833008,0.01078671605170034,0.007924782044010037,0.008704305,0.007525325,0.020088104915214178,0.019739319217201068
GNB,Guinea-Bissau,35636.77,93.20297,97.851135,0.009781122,0.620961606502533,0.6801131367683411,1.6019723415374756,1.7244423627853394,0.45411628,0.4909851,1.4477102,1.5513726,0.18263107538223267,0.20634786784648895,0.19052442908287048,0.2158556431531906,0.01836457371496092,0.014842704294683706,0.015734553,0.01392746,0.024719644266404384,0.02528014608909257
GNQ,Equatorial Guinea,27167.73,52.1599,58.10217,0.02181232,1.1593226194381714,1.3024557828903198,4.1025824546813965,4.594000339508057,1.0373368,1.1555533,4.0022964,4.470465,0.13439658284187317,0.16215954720973969,0.14423039555549622,0.17261013388633728,0.023556300148999565,0.0228848373265913,0.021819115,0.022371411,0.038271323749763164,0.03657778923046995
KEN,Kenya,590855.83,2088.1836,3066.1794,0.0798558,19.265933990478516,29.053773880004883,75.7216796875,109.63368225097656,19.113361,28.860966,75.61052,109.49131,0.1536913812160492,0.194003164768219,0.1588989943265915,0.2011333703994751,0.08563165196908962,0.07682406429262545,0.08591235,0.07686055,0.04768773604752474,0.04826864694994981
LBR,Liberia,97807.08,188.27751,201.01454,0.01317811,3.7437312602996826,4.002127647399902,12.460234642028809,13.37957763671875,3.2772882,3.5222502,12.00491,12.912015,0.4666709303855896,0.4801326394081116,0.48717886209487915,0.5012454986572266,0.013438162116307772,0.014339263427408877,0.014521122,0.01467514,0.005703812023355459,0.005709169421903804
LSO,Lesotho,40532.11,175.99173,210.379,0.036339402,0.911975085735321,1.2318530082702637,3.598348617553711,4.489593029022217,0.9119751,1.231853,3.5983486,4.489593,0.0,0.0,0.0,0.0,0.0,0.0,0.061977148,0.04525137,0.0,0.0
MDG,Madagascar,670441.75,732.1345,821.7071,0.023352385,23.67383575439453,26.644771575927734,65.64364624023438,73.30072784423828,21.528612,24.3787,63.14465,70.639114,2.2234301567077637,2.3535563945770264,3.065633773803711,3.2602851390838623,0.023926243538056502,0.022311198512027897,0.025177121,0.022684693,0.011440229478240749,0.012388171860455932
MLI,Mali,1386489.38,943.2148,1035.4553,0.018835664,21.530445098876953,23.01860809326172,116.12381744384766,124.69938659667969,21.530445,23.018608,116.12382,124.69939,0.0,0.0,0.0,0.0,0.0,0.0,0.013456702,0.014351845,0.0,0.0
MOZ,Mozambique,872757.72,1590.2452,1956.5122,0.04232633,10.3748140335083,13.338326454162598,55.083011627197266,67.94284057617188,8.831638,11.462975,51.718052,64.13716,1.559080719947815,1.8946385383605957,5.0287933349609375,5.614055633544922,0.05153614217520475,0.042858066149104035,0.05354047,0.04398322,0.039756282547321886,0.022262865031372536
MRT,Mauritania,1192801.17,171.23819,228.73395,0.05960989,1.011391282081604,1.3016737699508667,10.682031631469727,13.920454025268555,0.72973937,0.973235,10.370184,13.55434,0.28164753317832947,0.328427255153656,0.34514492750167847,0.4013827443122864,0.05175985373676584,0.05438667335283176,0.05927813,0.055014372,0.031208888539235646,0.030650552908148665
MUS,Mauritius,2312.26,71.27359,73.975075,0.0074682236,1.4129301309585571,1.4705623388290405,4.348295211791992,4.5250067710876465,1.3876551,1.4451543,4.2834926,4.4594774,0.03189467266201973,0.03217800334095955,0.09754562377929688,0.0989147275686264,0.008027895302121335,0.007998863445843218,0.0081532,0.008085132,0.0017703849647650038,0.0027914762393883574
MWI,Malawi,125432.14,925.78827,1099.7659,0.035041332,4.879361629486084,6.129858493804932,24.855993270874023,30.75592613220215,4.8793616,6.1298585,24.855993,30.755926,0.0,0.0,0.0,0.0,0.04668858651087371,0.04351702095719734,0.046688557,0.043516994,0.0,0.0
NAM,Namibia,968467.11,246.06944,305.96762,0.044536352,4.563509941101074,5.72878360748291,21.406509399414062,26.372909545898438,4.547337,5.712403,21.385721,26.351883,0.016193559393286705,0.016400787979364395,0.021002808585762978,0.021244794130325317,0.046532412155325,0.042611324710669196,0.04667616,0.0426476,0.0025463938328884606,0.0022937691315569886
NER,Niger,1310700.07,563.9885,748.1854,0.058151364,8.858119010925293,10.674419403076172,48.99153137207031,61.88406753540039,8.858119,10.674419,48.99153,61.884068,0.0,0.0,0.0,0.0,0.0,0.0,0.038007617,0.047831774,0.0,0.0
NGA,Nigeria,941845.05,7370.586,8219.339,0.022037864,70.60794830322266,78.06832122802734,436.3357238769531,477.439697265625,61.13053,68.26036,424.87064,465.54282,9.69482421875,10.031378746032715,17.521617889404297,18.125417709350586,0.020291455558896443,0.01816825202722283,0.022308707,0.018452048,0.006848524085051766,0.00679897277917374
RWA,Rwanda,25481.38,532.5143,677.30524,0.04927814,2.9678635597229004,3.8682053089141846,14.526054382324219,17.809764862060547,2.9678636,3.8682053,14.526054,17.809765,0.0,0.0,0.0,0.0,0.0,0.0,0.054418683,0.04160273,0.0,0.0
SDN,Sudan,2046598.98,1265.8579,1682.4991,0.05855632,37.55388641357422,44.49817657470703,209.8253173828125,253.07968139648438,37.421528,44.34916,209.6839,252.92044,0.132441908121109,0.14901386201381683,0.14215366542339325,0.16002081334590912,0.03451660363394993,0.03819725931001705,0.03455305,0.038206577,0.023859226505225095,0.023961628107280974
SEN,Senegal,211117.26,616.69147,706.5777,0.02758658,6.770315170288086,7.76702880859375,34.980682373046875,40.58284378051758,5.066189,5.903764,33.941803,39.413372,1.7391386032104492,1.899649739265442,1.8268911838531494,1.9953502416610718,0.02784873549597333,0.03015562872757771,0.031073213,0.030342817,0.017812704368910026,0.017797293305464423
SLE,Sierra Leone,74734.95,215.6404,225.25209,0.008759737,5.619448184967041,5.9253249168396,14.291529655456543,14.943718910217285,4.772964,5.052478,13.610909,14.242964,0.9191970229148865,0.9487482309341431,0.9443463087081909,0.9747557640075684,0.010656793893472294,0.008964753204367293,0.01144731,0.00911963,0.00634866313632676,0.006358930665876672
SOM,Somalia,647355.11,194.29144,245.16862,0.047616243,4.16716194152832,5.020314693450928,25.526735305786133,31.664424896240234,3.751562,4.589992,25.223007,31.34878,0.4193313717842102,0.43487462401390076,0.43942415714263916,0.45625537633895874,0.03795401376061558,0.04403549954308872,0.041165948,0.04444301,0.007305817829792005,0.007545837937238398
SSD,South Sudan,643198.4,124.832405,203.91678,0.10312605,3.2510979175567627,6.317962646484375,18.51676368713379,30.937673568725586,3.251098,6.3179626,18.516764,30.937674,0.0,0.0,0.0,0.0,0.0,0.0,0.1421138,0.10811424,0.0,0.0
STP,São Tomé and Príncipe,1009.12,7.805495,7.93718,0.0033515692,0.12955768406391144,0.13277463614940643,0.3092745244503021,0.3159482777118683,0.077808864,0.08032689,0.29018918,0.29638094,0.06119899824261665,0.06192021071910858,0.061218664050102234,0.06194065511226654,0.0049174526190736145,0.0042789709528916475,0.006390214,0.004231453,0.0023459096627098663,0.00234767947137704
SWZ,eSwatini,21818.42,106.556335,160.45296,0.085309744,0.6931376457214355,1.0559297800064087,1.8577908277511597,2.798243999481201,0.69313765,1.0559298,1.8577908,2.798244,0.0,0.0,0.0,0.0,0.08783520686296087,0.08536985003940023,0.08783519,0.085369825,0.0,0.0
SYC,Seychelles,502.28,5.336974,5.458527,0.0045142174,0.13775914907455444,0.14061982929706573,0.39693185687065125,0.40466025471687317,0.12878314,0.13149616,0.38763627,0.39521778,0.00935411173850298,0.009510002098977566,0.00995466485619545,0.01011744700372219,0.004119088028400331,0.00386408982231079,0.0041782856,0.0038814545,0.0033110880831535017,0.003249285240175981
TCD,Chad,1380442.21,462.5464,572.7474,0.043666005,3.6210672855377197,4.518738269805908,45.091583251953125,54.312034606933594,3.6210673,4.5187383,45.091583,54.312035,0.0,0.0,0.0,0.0,0.0,0.0,0.045288324,0.037911057,0.0,0.0
TGO,Togo,58928.38,402.18774,471.0627,0.032119513,1.162801742553711,1.3924072980880737,11.342921257019043,13.018386840820312,1.1515163,1.3806938,11.326225,13.001111,0.011319998651742935,0.011747889220714569,0.016731999814510345,0.01731666550040245,0.0366976722574579,0.027936887635048535,0.03696823,0.027966738,0.007448126328771121,0.0068929113153775035
TZA,Tanzania,960259.31,3270.9124,4138.235,0.04816401,16.742767333984375,21.221839904785156,104.95463562011719,130.39129638671875,16.199287,20.533125,104.485275,129.79305,0.5613608360290527,0.7115612030029297,0.5853292346000671,0.7424622774124146,0.048554862043960645,0.044357994546759594,0.048556447,0.044333577,0.04856179547817652,0.0487086145086717
UGA,Uganda,243328.78,2024.42,2667.901,0.056753755,5.973204612731934,8.220664024353027,36.652374267578125,48.7358512878418,5.9732046,8.220664,36.652374,48.73585,0.0,0.0,0.0,0.0,0.0,0.0,0.065957546,0.058642387,0.0,0.0
ZAF,South Africa,1605570.65,5652.1797,6366.1284,0.02407527,19.090360641479492,23.196237564086914,124.06040954589844,142.07557678222656,18.875591,22.90308,123.60372,141.47418,0.22006185352802277,0.29977890849113464,0.5282320976257324,0.6909904479980469,0.03973025827771992,0.027489147438830575,0.03943813,0.02737534,0.06377862962068837,0.05518704690094611
ZMB,Zambia,799618.54,1219.878,1380.7051,0.025077939,9.562137603759766,11.064828872680664,40.61965560913086,46.86751174926758,9.562138,11.064829,40.619656,46.86751,0.0,0.0,0.0,0.0,0.0,0.0,0.029622316,0.02902782,0.0,0.0
ZWE,Zimbabwe,439707.79,915.95197,1332.2628,0.07781303,4.488847732543945,6.946362018585205,20.73874855041504,30.85050392150879,4.4888477,6.946362,20.738749,30.850504,0.0,0.0,0.0,0.0,0.0,0.0,0.09125066,0.082669616,0.0,0.0
