Country Code,Year,Value
AFE,1990,3385.6756003253454
AFW,1990,3324.4581268684046
AGO,1990,7391.752353683448
BDI,1990,1396.0776268891557
BEN,1990,2207.067964283567
BFA,1990,1107.855904549655
BWA,1990,10520.91839689263
CAF,1990,1481.252550942584
CIV,1990,5255.509626384006
CMR,1990,4517.618877796182
COD,1990,2172.001597445441
COG,1990,8699.526838706148
COM,1990,2380.981615248248
CPV,1990,1848.7586523557443
EAS,1990,5742.923143016235
ECS,1990,28303.163728322685
ETH,1990,874.346936189696
GAB,1990,23884.810699751022
GHA,1990,2785.671143325006
GIN,1990,2105.7472949623243
GMB,1990,2653.7829139212536
GNB,1990,1944.2278545432416
GNQ,1990,1122.8176736466428
KEN,1990,4177.486033103455
LBR,1990,1866.405481258332
LCN,1990,12450.189380005995
LSO,1990,1422.1505688128389
MDG,1990,1968.2723977112491
MEA,1990,9094.823552107006
MLI,1990,1615.919155265022
MOZ,1990,547.6227814321957
MRT,1990,5519.610341443216
MUS,1990,8951.338013543842
MWI,1990,1047.4643635113166
NAM,1990,7281.778925778884
NER,1990,1411.8489220028068
NGA,1990,3650.67300166823
RWA,1990,1122.991324145581
SDN,1990,2460.18872070313
SEN,1990,2923.3441246967304
SLE,1990,2706.0314506583622
SSA,1990,3605.776850066514
STP,1990,3883.204298422663
SWZ,1990,5522.298877497576
SYC,1990,15478.84754442276
TCD,1990,1705.0422647686323
TGO,1990,2171.19605672473
TSA,1990,2221.1040111715165
TZA,1990,1794.20458984375
UGA,1990,1080.038309803981
ZAF,1990,10824.384759010714
ZMB,1990,2425.1112867838174
ZWE,1990,4013.2958976719256
AFE,1991,3292.714637981406
AFW,1991,3276.9948609291023
AGO,1991,7218.441431735835
BDI,1991,1435.8195614996594
BEN,1991,2230.460546645372
BFA,1991,1178.0770463906254
BWA,1991,11001.80135782158
CAF,1991,1427.6901831353905
CIV,1991,5052.8516705138645
CMR,1991,4220.652973870841
COD,1991,1923.969922851708
COG,1991,8658.161452860055
COM,1991,2198.320385514296
CPV,1991,1830.0759965621085
EAS,1991,5973.383120522487
ECS,1991,27818.67587674373
ETH,1991,777.5235662589245
GAB,1991,24665.679229433325
GHA,1991,2859.827021664115
GIN,1991,2075.991943026749
GMB,1991,2623.6416160750728
GNB,1991,2000.302768637567
GNQ,1991,1070.8276428304123
KEN,1991,4102.476775129651
LBR,1991,1819.4978529252185
LCN,1991,12621.99504535392
LSO,1991,1494.2403244677694
MDG,1991,1789.841693659772
MEA,1991,8976.192079146897
MLI,1991,1770.2150109066924
MOZ,1991,563.5121034162315
MRT,1991,5456.555765275771
MUS,1991,9248.000250301086
MWI,1991,1104.3904622212017
NAM,1991,7618.332781844494
NER,1991,1362.7454534352598
NGA,1991,3568.2583637637567
RWA,1991,1072.6971064156132
SDN,1991,2591.869140625
SEN,1991,2917.014277850267
SLE,1991,2737.429111906247
SOM,1991,836.9666067773624
SSA,1991,3538.235648895697
STP,1991,3844.8963771481976
SWZ,1991,5398.237292843047
SYC,1991,15695.670838946027
TCD,1991,1784.1168359998835
TGO,1991,2094.811466311372
TSA,1991,2207.152293663417
TZA,1991,1785.66394042969
UGA,1991,1103.2289727883465
ZAF,1991,10472.158598025117
ZMB,1991,2364.862340399563
ZWE,1991,4126.4019965810185
AFE,1992,3133.9745861114693
AFW,1992,3253.800064712755
AGO,1992,6578.068574920001
BDI,1992,1412.0605462709775
BEN,1992,2226.566660066255
BFA,1992,1152.0447609509613
BWA,1992,11008.681020426648
CAF,1992,1294.202547257675
CIV,1992,4843.293492563526
CMR,1992,3974.277595011964
COD,1992,1664.753651868454
COG,1992,8636.637192099231
COM,1992,2336.834800745625
CPV,1992,1984.6806299883467
EAS,1992,6207.038514599158
ECS,1992,26890.18228718237
ETH,1992,680.8347668477983
GAB,1992,23268.99747205757
GHA,1992,2897.835431968584
GIN,1992,2076.5506269069524
GMB,1992,2604.269033267541
GNB,1992,1963.6381447992776
GNQ,1992,1390.4791848201276
KEN,1992,3946.840934378508
LBR,1992,1115.0377081685178
LCN,1992,12754.749345213431
LSO,1992,1571.8270420314038
MDG,1992,1757.2945977499276
MEA,1992,9249.256133563083
MLI,1992,1679.048112532745
MOZ,1992,510.8228229283101
MRT,1992,5350.118041586421
MUS,1992,9721.538962583509
MWI,1992,994.0365047904706
NAM,1992,7911.010258042807
NER,1992,1347.3322974198368
NGA,1992,3636.771291888407
RWA,1992,1112.5903445689676
SDN,1992,2709.7900390625
SEN,1992,2874.0029796631075
SLE,1992,2259.480290675865
SOM,1992,803.4986753413912
SSA,1992,3438.067351990228
STP,1992,3798.8835292951417
SWZ,1992,5364.323232851656
SYC,1992,16744.50808160341
TCD,1992,1846.8228914488875
TGO,1992,1955.3338053926093
TSA,1992,2278.2956227516665
TZA,1992,1751.91845703125
UGA,1992,1102.72992145701
ZAF,1992,10065.916090326671
ZMB,1992,2268.4981219537804
ZWE,1992,3649.8890722311176
AFE,1993,3022.859879316677
AFW,1993,3129.3491513955546
AGO,1993,4843.1558838155215
BDI,1993,1366.292152932177
BEN,1993,2254.2456542889263
BFA,1993,1162.6492345335105
BWA,1993,10902.951276512382
CAF,1993,1257.828403382401
CIV,1993,4645.467508718052
CMR,1993,3556.3185442459217
COD,1993,1389.9508694841345
COG,1993,8302.697268349411
COM,1993,2363.536912739266
CPV,1993,2111.6214081474827
EAS,1993,6452.674357120317
ECS,1993,26233.788734913
ETH,1993,743.7084859171009
GAB,1993,23551.681253301016
GHA,1993,2964.2660094365847
GIN,1993,2115.8664959393955
GMB,1993,2586.1304164570315
GNB,1993,1939.7543979518812
GNQ,1993,1487.8120252858776
KEN,1993,3844.920297835986
LBR,1993,718.6832388147643
LCN,1993,13122.841201637206
LSO,1993,1602.596332390953
MDG,1993,1740.2951359393903
MEA,1993,9203.990596733664
MLI,1993,1696.5719339117609
MOZ,1993,549.0487597709551
MRT,1993,5439.82229260651
MUS,1993,10095.198756261469
MWI,1993,1074.584852132686
NAM,1993,7541.560817918446
NER,1993,1309.6112110994045
NGA,1993,3469.580441391304
RWA,1993,984.2175299219524
SDN,1993,2777.27490234375
SEN,1993,2834.027972813183
SLE,1993,2295.626921455405
SOM,1993,812.2657411283254
SSA,1993,3304.816517330753
STP,1993,3771.286124160622
SWZ,1993,5372.063772929981
SYC,1993,17596.89776171707
TCD,1993,1520.4118914398105
TGO,1993,1670.4836739759164
TSA,1993,2338.64909437645
TZA,1993,1718.39306640625
UGA,1993,1153.9936907031818
ZAF,1993,9989.177217461232
ZMB,1993,2365.6295363077843
ZWE,1993,3634.747631563151
AFE,1994,2992.566301479558
AFW,1994,3046.0668137740427
AGO,1994,4751.471649039665
BDI,1994,1305.4520796515042
BEN,1994,2215.36616821938
BFA,1994,1148.607213703954
BWA,1994,10989.670054115608
CAF,1994,1278.9150914506276
CIV,1994,4502.45953404415
CMR,1994,3522.7488528574927
COD,1994,1273.9945875097058
COG,1994,7617.607502748115
COM,1994,2199.534332290007
CPV,1994,2465.9939315016995
EAS,1994,6765.196747053912
ECS,1994,25898.849715398803
ETH,1994,741.1766237138589
GAB,1994,23794.31492951661
GHA,1994,2989.3473101213126
GIN,1994,2134.897693557875
GMB,1994,2508.1039153388992
GNB,1994,1940.8092252823967
GNQ,1994,1672.3454753589672
KEN,1994,3833.2235783858864
LBR,1994,563.6403611966473
LCN,1994,13582.886370489256
LSO,1994,1675.5977232422033
MDG,1994,1686.341908330956
MEA,1994,9205.543731957088
MLI,1994,1723.2076180947988
MOZ,1994,546.2096881642631
MRT,1994,5097.208394948361
MUS,1994,10366.590863239166
MWI,1994,975.849640143399
NAM,1994,7437.335290361091
NER,1994,1291.6816102900232
NGA,1994,3317.8073943368886
RWA,1994,575.3675484910217
SDN,1994,2736.47192382813
SEN,1994,2757.860875138443
SLE,1994,2242.3055000688973
SOM,1994,634.4999903223924
SSA,1994,3250.200953483973
STP,1994,3788.483704421524
SWZ,1994,5501.630828778936
SYC,1994,16716.520718892283
TCD,1994,1636.4434908910523
TGO,1994,1913.7183509075207
TSA,1994,2437.5272636802506
TZA,1994,1679.66235351563
UGA,1994,1187.3678054173429
ZAF,1994,10143.206282627
ZMB,1994,2110.5832556480973
ZWE,1994,3965.727862180693
AFE,1995,3047.0184567199926
AFW,1995,3029.285606245653
AGO,1995,5284.7031332192055
BDI,1995,1132.218781538122
BEN,1995,2300.14122107459
BFA,1995,1183.5286100808369
BWA,1995,11457.699435214956
CAF,1995,1334.103229817836
CIV,1995,4638.75732482502
CMR,1995,3526.5436751033917
COD,1995,1230.7448763689804
COG,1995,7701.324685333359
COM,1995,2239.7167545817497
CPV,1995,2763.397333718566
EAS,1995,7115.00765887358
ECS,1995,26213.578940619
ETH,1995,760.2643451223138
GAB,1995,24344.185740028515
GHA,1995,3039.6887303167423
GIN,1995,2171.7255215326454
GMB,1995,2456.0007811360647
GNB,1995,1975.695757703195
GNQ,1995,1892.116530625265
KEN,1995,3890.098551146502
LBR,1995,534.8097151654064
LCN,1995,13472.30526984152
LSO,1995,1709.6943351293946
MDG,1995,1661.2706246680884
MEA,1995,9254.141790855503
MLI,1995,1701.7997661328611
MOZ,1995,525.4186718374989
MRT,1995,5446.269565997231
MUS,1995,10718.513439560484
MWI,1995,1140.7560936507862
NAM,1995,7506.104840340862
NER,1995,1280.335421191399
NGA,1995,3229.12414149508
RWA,1995,931.3677900693864
SDN,1995,2824.63208007813
SEN,1995,2835.0327287449586
SLE,1995,2059.9283634159647
SOM,1995,636.4336334509278
SSA,1995,3278.5065534976075
STP,1995,3802.291323021736
SWZ,1995,5771.749817553437
SYC,1995,16552.454781523076
TCD,1995,1585.2584532169583
TGO,1995,1975.9492328003823
TSA,1995,2561.1387186893057
TZA,1995,1685.85107421875
UGA,1995,1288.508866743482
ZAF,1995,10331.469216430538
ZMB,1995,2119.9564292869727
ZWE,1995,3935.276957650139
AFE,1996,3132.145149559123
AFW,1996,3086.3866791527003
AGO,1996,5800.9625138357005
BDI,1996,1040.9223147610792
BEN,1996,2337.6303077127877
BFA,1996,1280.6960853388855
BWA,1996,11832.93877717184
CAF,1996,1247.9687525828017
CIV,1996,4807.424281780255
CMR,1996,3577.5920413787067
COD,1996,1194.9591024932347
COG,1996,7812.047799716408
COM,1996,2173.0429462341167
CPV,1996,3022.888252115846
EAS,1996,7470.028736117853
ECS,1996,26510.991361354783
ETH,1996,826.9916588609918
GAB,1996,24595.97196248689
GHA,1996,3106.185554803875
GIN,1996,2205.32363416973
GMB,1996,2439.045516485124
GNB,1996,2159.3997497808978
GNQ,1996,3033.840312203059
KEN,1996,3941.409194813533
LBR,1996,582.6779825360925
LCN,1996,13766.85555442088
LSO,1996,1786.1822901659996
MDG,1996,1643.325796286411
MEA,1996,9502.49007663256
MLI,1996,1783.0275058807242
MOZ,1996,562.8574563416563
MRT,1996,5650.341186254896
MUS,1996,11202.286320862857
MWI,1996,1200.3205823242208
NAM,1996,7538.924623422007
NER,1996,1239.4766411517376
NGA,1996,3277.794522439561
RWA,1996,888.1310098785486
SDN,1996,2924.29077148438
SEN,1996,2822.468373238563
SLE,1996,2086.057235105867
SOM,1996,663.1131175095657
SSA,1996,3354.426335272228
STP,1996,3801.081649338574
SWZ,1996,5875.987789201892
SYC,1996,17942.173303662712
TCD,1996,1550.1610881683996
TGO,1996,2072.0832898731187
TSA,1996,2688.748849505991
TZA,1996,1730.55456542969
UGA,1996,1367.9457376493572
ZAF,1996,10636.864334573853
ZMB,1996,2197.1956492524155
ZWE,1996,4271.476565750964
AFE,1997,3176.422608961932
AFW,1997,3139.049385665495
AGO,1997,6015.186847368994
BDI,1997,1024.449953968789
BEN,1997,2399.785931273558
BFA,1997,1326.9423082996295
BWA,1997,12526.352235264483
CAF,1997,1278.4882606278122
CIV,1997,5072.59703802667
CMR,1997,3641.707504632775
COD,1997,1109.858456534372
COG,1997,7599.048153885874
COM,1997,2222.021132369842
CPV,1997,3302.974033753598
EAS,1997,7716.832895604794
ECS,1997,27220.428311262007
ETH,1997,826.0052181118597
GAB,1997,25359.65965810655
GHA,1997,3160.4450405324947
GIN,1997,2272.411004639549
GMB,1997,2486.9379839652697
GNB,1997,2256.3323511613994
GNQ,1997,7296.100098098426
KEN,1997,3853.371392803545
LBR,1997,1111.937602513708
LCN,1997,14284.571833993206
LSO,1997,1837.696570499663
MDG,1997,1649.4480900605552
MEA,1997,9636.886069478023
MLI,1997,1827.132689868108
MOZ,1997,612.3715512659153
MRT,1997,5302.366638184381
MUS,1997,11692.09700801809
MWI,1997,1221.0940455535338
NAM,1997,7656.325125429863
NER,1997,1217.3125356792175
NGA,1997,3287.3700047658363
RWA,1997,874.6947282963217
SDN,1997,3380.18676757813
SEN,1997,2840.608088598318
SLE,1997,1938.2987320824063
SOM,1997,647.7846514247291
SSA,1997,3408.687832893537
STP,1997,3784.790234317797
SWZ,1997,5957.23563505531
SYC,1997,19895.14221884307
TCD,1997,1582.2267677680202
TGO,1997,2296.176564018913
TSA,1997,2747.1844930856405
TZA,1997,1755.8037109375
UGA,1997,1396.631069152182
ZAF,1997,10783.461157989614
ZMB,1997,2223.4574544573074
ZWE,1997,4304.402881137268
AFE,1998,3154.03765386441
AFW,1998,3168.2082360622667
AGO,1998,6090.095877585338
BDI,1998,1052.8070342297856
BEN,1998,2419.1001433854794
BFA,1998,1385.0931067909478
BWA,1998,12306.250476124267
CAF,1998,1302.7514283078167
CIV,1998,5093.131694385288
CMR,1998,3714.13212604236
COD,1998,1062.568706947883
COG,1998,7711.632125760498
COM,1998,2212.095187702129
CPV,1998,3657.3811899377583
EAS,1998,7626.710979403828
ECS,1998,27718.65988269211
ETH,1998,772.7866464731577
GAB,1998,25585.507796403752
GHA,1998,3229.4822827263124
GIN,1998,2311.3273534030013
GMB,1998,2502.764771242983
GNB,1998,1717.5686440302286
GNQ,1998,8684.657308306403
KEN,1998,3871.821763224465
LBR,1998,1308.405683052936
LCN,1998,14483.599586776312
LSO,1998,1856.6907848871383
MDG,1998,1658.888492528144
MEA,1998,9842.045475292163
MLI,1998,1916.3242157466595
MOZ,1998,660.6501778207478
MRT,1998,5310.158196202668
MUS,1998,12272.319593349104
MWI,1998,1241.524331818263
NAM,1998,7709.890043701341
NER,1998,1294.1619115653896
NGA,1998,3285.238039806414
RWA,1998,913.71963460585
SDN,1998,3441.17919921875
SEN,1998,2938.6916255152523
SLE,1998,1953.576849821134
SOM,1998,662.4370857973719
SSA,1998,3414.3012903221293
STP,1998,3828.9982383908296
SWZ,1998,6034.3273075835
SYC,1998,19991.2293154949
TCD,1998,1634.9895079419716
TGO,1998,2180.6557676215507
TSA,1998,2855.99974040467
TZA,1998,1773.72424316406
UGA,1998,1422.2078918470515
ZAF,1998,10706.777679671017
ZMB,1998,2157.573393356672
ZWE,1998,4342.854756088617
AFE,1999,3156.349944554054
AFW,1999,3135.958691162537
AGO,1999,6021.2291477647705
BDI,1999,1017.4977782373476
BEN,1999,2470.685044005489
BFA,1999,1444.5669017041432
BWA,1999,13207.44734532214
CAF,1999,1313.2357090208814
CIV,1999,4987.357085302651
CMR,1999,3780.062172821907
COD,1999,983.6022257825572
COG,1999,7312.326650716208
COM,1999,2214.839611855239
CPV,1999,4006.47964718799
EAS,1999,7866.173201334607
ECS,1999,28496.85673099379
ETH,1999,787.679577553394
GAB,1999,22713.714440326
GHA,1999,3290.268652357485
GIN,1999,2346.2701835770954
GMB,1999,2589.9777386039564
GNB,1999,1968.6895559805807
GNQ,1999,10492.46494755543
KEN,1999,3848.464706127269
LBR,1999,1507.3147025459425
LCN,1999,14339.87037882892
LSO,1999,1860.700521786124
MDG,1999,1681.35933226238
MEA,1999,9900.574650732691
MLI,1999,1970.0340490451
MOZ,1999,722.3055613799794
MRT,1999,5359.988824826803
MUS,1999,12433.669751621925
MWI,1999,1249.7752329887055
NAM,1999,7773.943541487135
NER,1999,1247.647128927562
NGA,1999,3218.463573656963
RWA,1999,945.733218859969
SDN,1999,3459.22998046875
SEN,1999,3050.178009986962
SLE,1999,1905.039273121068
SOM,1999,682.7340666732961
SSA,1999,3400.980706493884
STP,1999,3878.1310852524616
SWZ,1999,6145.31969792255
SYC,1999,19969.35137461744
TCD,1999,1567.767138987283
TGO,1999,2172.491734959823
TSA,1999,3032.538674448168
TZA,1999,1810.97155761719
UGA,1999,1487.7579617887395
ZAF,1999,10844.917289783618
ZMB,1999,2198.1891299864765
ZWE,1999,4238.191860016092
AFE,2000,3175.467231773516
AFW,2000,3162.4167466440235
AGO,2000,6002.989140112461
BDI,2000,988.036863486
BEN,2000,2536.168858670967
BFA,2000,1428.5740061709628
BWA,2000,13185.817150239867
CAF,2000,1245.813995635986
CIV,2000,4838.3402372993805
CMR,2000,3822.9442535892576
COD,2000,886.7207593112989
COG,2000,7570.582792973423
COM,2000,2408.4169365974035
CPV,2000,4510.13573659758
EAS,2000,8248.938487659545
ECS,2000,29840.408270345582
ETH,2000,810.2707491824355
GAB,2000,21717.224079678897
GHA,2000,3327.351992917668
GIN,2000,2358.287656084953
GMB,2000,2658.617705794637
GNB,2000,1950.8012279417549
GNQ,2000,11767.470881431287
KEN,2000,3756.636222968789
LBR,2000,1868.1797558761764
LCN,2000,14637.734362125138
LSO,2000,1932.157932234147
MDG,2000,1701.443202533242
MEA,2000,10257.307113503102
MLI,2000,1912.3089840759624
MOZ,2000,711.9763935273959
MRT,2000,5008.608071445723
MUS,2000,13322.02013715291
MWI,2000,1239.39174838676
NAM,2000,7858.3878952125315
NER,2000,1190.566745432232
NGA,2000,3290.7056611918106
RWA,2000,1016.66199090104
SDN,2000,3575.85205078125
SEN,2000,3093.287916026153
SLE,2000,1983.2887238461365
SOM,2000,702.5978846421054
SSA,2000,3424.1353715320784
STP,2000,3852.8904272145337
SWZ,2000,6189.644908603427
SYC,2000,20633.674695076068
TCD,2000,1501.1448405951433
TGO,2000,2096.859098008801
TSA,2000,3097.806570678501
TZA,2000,1839.93664550781
UGA,2000,1487.004988535119
ZAF,2000,11197.51489524929
ZMB,2000,2220.565371271404
ZWE,2000,4071.018794933316
AFE,2001,3207.570294897685
AFW,2001,3233.544367797276
AGO,2001,6049.163212222716
BDI,2001,983.3968467170328
BEN,2001,2591.064852202879
BFA,2001,1477.2849184652491
BWA,2001,12949.640309298891
CAF,2001,1272.8571075850507
CIV,2001,4609.144693953026
CMR,2001,3884.8730481271423
COD,2001,841.0356513737311
COG,2001,7567.439168171039
COM,2001,2414.430049724934
CPV,2001,4540.907317805181
EAS,2001,8481.634058867952
ECS,2001,30566.33128747211
ETH,2001,851.3134284645707
GAB,2001,21604.78044417686
GHA,2001,3369.50702508212
GIN,2001,2412.751619596276
GMB,2001,2737.6961080590604
GNB,2001,2001.1651702290396
GNQ,2001,18031.964975073995
KEN,2001,3778.2585475561496
LBR,2001,1867.1191092175295
LCN,2001,14492.233252593694
LSO,2001,2004.033502159552
MDG,2001,1748.5035092891244
MEA,2001,10240.377895851494
MLI,2001,2140.9925656051087
MOZ,2001,785.7901736162456
MRT,2001,4847.410865284954
MUS,2001,13659.635144760472
MWI,2001,1149.5803960189826
NAM,2001,7786.541694967607
